ID,MW,POD_logmol,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
19,261.336,-4.386018735860845,8.25,-1.75,8.25,0.0,0.3163602017234079,261.336,261.336,261.88088292,48,0,2.0,-0.3562938630350668,2.0,0.3562938630350668,0.7777777777777778,0.7777777777777778,0.7777777777777778,,,,,,,,,-7.199999951999999e-08,69.05865002596163,7.154700538379252,4.0510237149696415,8.491732004276596,3.4641016151377544,1.0954451150103324,1.0954451150103324,0.447213595499958,0.447213595499958,0.0,0.0,0.0,0.0,-0.028571428571428692,19.96089998269225,15.987385165828883,10.86483760510454,348199.97142856853,88.75877657363266,30.643142587085727,0.0,0.0,0.0,0.0,48.88104809964644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.173238085865085,10.173238085865085,48.88104809964644,0.0,0.0,0.0,0.0,0.0,30.643142587085727,0.0,0.0,0.0,0.0,0.0,0.0,59.05428618551153,0.0,30.643142587085727,0.0,0.0,0.0,0.0,0.0,132.4,10.173238085865085,0.0,0.0,48.88104809964644,0.0,0.0,0.0,0.0,0.0,0.0,30.643142587085727,0.0,0.0,16.5,29.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,8,0,0,0,0,0,0,6,0,9,0,0,0,0,0,-0.8590000000000002,26.476800000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,158.35500000000002,-5.11805574160361,4.930555555555555,-1.6249999999999996,4.930555555555555,1.6249999999999996,0.5061494125123165,158.35500000000002,158.35500000000002,156.84706554,27,0,,,,,1.0,1.0,1.0,,,,,,,,,2.3237900077244498,8.0,3.5773502691896257,1.5421417094915446,5.084931080143392,1.7320508075688772,0.4629100498862757,5.725881092523167,0.1749635530559413,6.492538888947051,0.0,0.0,0.0,0.0,1.4024675324675324,3.2451124978365313,5.402467532467533,2.6296128759879904,9.984433117812854,41.65084248230029,0.0,0.0,0.0,0.0,0.0,41.53173657590909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.384364732305446,30.14737184360365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.14737184360365,0.0,11.384364732305446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.384364732305446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.14737184360365,0.0,-1.6249999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.791666666666666,0.0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2.066,17.558999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,135.453,-2.90273857116957,4.944444444444444,-1.7222222222222223,4.944444444444444,1.7222222222222223,0.3481259385894513,135.453,134.445,133.891309602,26,0,0.32609782885180366,-0.129832050559417,0.32609782885180366,0.129832050559417,1.0,1.0,1.0,35.841806946178345,27.699193053821652,1.845990949738288,-1.647725171445901,1.9684845296199058,-1.6577845296199072,7.537286844940828,4.071713155059169,2.3237900077244498,8.0,3.5773502691896257,1.7112436882173077,5.133731064651922,1.7320508075688772,0.6546536707079772,5.891883036371795,0.24743582965269675,6.680767400622814,0.0,0.0,0.0,0.0,1.086883116883117,3.2451124978365313,5.086883116883118,2.3315683626805686,11.380222448298985,40.37784907057184,0.0,0.0,0.0,0.0,0.0,6.726056149057846,0.0,0.0,0.0,33.23694771214904,0.0,0.0,0.0,0.0,0.0,39.963003861206886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.23694771214904,6.726056149057846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.726056149057846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.23694771214904,0.0,14.833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,-1.7222222222222223,0.0,0.0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1.42,24.708000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,221.17700000000002,-4.134375479511446,5.015555555555555,-2.2199999999999998,5.015555555555555,2.2199999999999998,0.5835731485648241,221.17700000000002,221.17700000000002,219.81043604,24,0,,,,,1.0,1.0,1.0,,,,,,,,,2.3237900077244498,8.0,3.5773502691896257,1.7112436882173077,7.274663603290462,1.7320508075688772,0.6546536707079772,13.174650984805199,0.24743582965269675,14.93865004965718,0.0,0.0,0.0,0.0,1.7401298701298702,3.2451124978365313,5.740129870129869,2.9510945540938143,9.273969274018178,43.291865280123154,0.0,0.0,0.0,0.0,0.0,43.62041103050633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.62041103050633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.731827544243824,17.888583486262508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.888583486262508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.731827544243824,0.0,-2.2199999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.046666666666667,0.0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1.6877,23.313000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,228.11900000000003,-3.4734150983475893,4.988888888888888,-2.0333333333333328,4.988888888888888,2.0333333333333328,0.5532771474905508,228.11900000000003,228.11900000000003,225.81037374,26,0,,,,,1.0,1.0,1.0,,,,,,,,,2.3237900077244498,8.0,3.5773502691896257,1.5811070145276398,6.4016802570830444,1.7320508075688772,0.50709255283711,10.205040771249136,0.19166296949998193,11.571428571428573,0.0,0.0,0.0,0.0,1.6881818181818182,3.2451124978365313,5.6881818181818184,2.9014841257249637,9.351712872287592,43.02062858988053,0.0,0.0,0.0,0.0,0.0,43.27139654066015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.27139654066015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.487367939588317,16.784028601071824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.784028601071824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.487367939588317,0.0,-2.0333333333333328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.966666666666665,0.0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1.6877,23.313000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,399.879,-4.285796266159675,8.520833333333334,-5.166666666666666,8.520833333333334,0.0,0.21446427824602368,399.879,399.879,399.72506344,106,2,3.0,-0.7587686166726576,3.0,0.7587686166726576,0.4117647058823529,0.4117647058823529,0.4117647058823529,,,,,,,,,-3.9999999862500004e-08,340.6558969276571,13.5,6.830831138144494,11.488690047163773,6.0,2.0000000000000004,6.0,1.2247448713915896,3.6742346141747677,0.0,0.0,0.0,0.0,0.6489610389610387,175.62528553949153,30.576213951679083,11.723272832270968,8483.274818162208,117.47283267981686,27.316499242142182,0.0,0.0,0.0,0.0,34.13735630481131,25.253390952986813,0.0,0.0,0.0,0.0,0.0,31.197001744948818,0.0,86.7072464999403,31.197001744948818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.56989019512899,65.33435804976013,0.0,0.0,0.0,0.0,0.0,0.0,240.78,31.197001744948818,0.0,0.0,34.13735630481131,0.0,0.0,0.0,0.0,0.0,0.0,52.56989019512899,102.24999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.499999999999998,0.0,17,0,12,0,0,0,0,0,0,12,0,17,0,0,0,0,0,-4.019,31.4238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,342.153,-4.69843726724367,8.520833333333334,-5.166666666666666,8.520833333333334,0.0,0.2285631982883775,342.153,342.153,341.8182657,96,0,3.0,-0.7587686166726576,3.0,0.7587686166726576,0.4117647058823529,0.4117647058823529,0.4117647058823529,,,,,,,,,-3.9999999862500004e-08,340.6558969276571,13.5,7.278424895337198,12.037315714878877,6.0,2.0000000000000004,6.0,1.2247448713915896,3.6742346141747677,0.0,0.0,0.0,0.0,0.6749350649350645,175.62528553949153,30.59106829140436,11.747824537225076,7883.018476981211,118.02861811934876,27.316499242142182,0.0,0.0,0.0,0.0,34.72213023921508,25.253390952986813,0.0,0.0,0.0,0.0,0.0,31.197001744948818,0.0,52.56989019512899,65.9191319841639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.29202043434408,31.197001744948818,0.0,0.0,0.0,0.0,0.0,0.0,240.78,31.197001744948818,0.0,0.0,34.72213023921508,0.0,0.0,0.0,0.0,0.0,0.0,52.56989019512899,102.24999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.499999999999998,0.0,17,0,12,0,0,0,0,0,0,12,0,17,0,0,0,0,0,-4.775599999999999,42.931799999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,61.83300000000001,-3.8218779569100816,7.166666666666667,-2.166666666666667,7.166666666666667,2.166666666666667,0.2827937198183339,61.83300000000001,58.809000000000005,62.017524355999996,24,0,0.6306456328238041,-0.4018195480003625,0.6306456328238041,0.4018195480003625,1.0,1.0,1.0,16.526024042221827,10.286975957778173,1.9224727044657277,-1.6916466196422875,1.3986316102504237,-2.066731610250423,6.301841036939477,0.27795896306053164,2.3237900077244498,8.0,3.5773502691896257,1.9189910556894996,1.9189910556894996,1.7320508075688772,0.7745966692414834,0.7745966692414834,0.34641016151377546,0.34641016151377546,0.0,0.0,0.0,0.0,-0.05506493506493516,3.2451124978365313,3.944935064935065,1.2845011259687569,572.7416598780339,23.684517280895907,15.07206772519801,0.0,0.0,0.0,0.0,7.3212123586851945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.07206772519801,7.3212123586851945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.3932800838832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.69,7.3212123586851945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.07206772519801,0.0,0.0,0.0,21.5,0.0,0.0,0.0,0.0,0.0,-2.166666666666667,0.0,4,3,3,0,0,0,0,0,0,3,3,4,0,0,0,0,0,-2.0518,12.4104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,110.98400000000001,-3.445940142471636,0.0,0.0,0.0,0.0,0.2726351526403676,110.98400000000001,110.98400000000001,109.90029634000001,16,0,2.0,-1.0,2.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,,,,,,,-0.0,2.7548875021634682,0.0,1.463035727205002,5.183262785478013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83974025974026,0.0,21.082044449494198,9.148419269953147,3.839740259740262,61.79043226022673,24.814066322359952,0.0,0.0,0.0,0.0,37.738234506165625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.814066322359952,37.738234506165625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.814066322359952,0.0,0.0,0.0,37.738234506165625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.552300828525574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,-6.3728,5.754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,67.45100000000001,-4.5659342765420945,8.23611111111111,-0.41666666666666696,8.23611111111111,0.41666666666666696,0.3469621050201223,67.45100000000001,67.45100000000001,66.95868192,19,1,0.3709512832535501,-0.5034070980584352,0.5034070980584352,0.3709512832535501,2.0,2.0,2.0,35.55527419874927,15.89772580125069,1.5581297998514798,-1.3983053193190793,1.1871895899544405,-1.9205218340006533,1.6480411697543103,-1.284811579549877,1.6329931618554523,2.7548875021634682,2.7071067811865475,1.1944610539369533,1.950389999955408,1.4142135623730951,0.3086066999241838,0.9258200997725516,0.06299407883487121,0.18898223650461368,0.0,0.0,0.0,0.0,0.20999999999999996,2.7548875021634682,3.21,2.2099999999999995,2.21,21.766736600821368,4.658994417457967,4.658994417457967,0.0,0.0,0.0,11.325086729566255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.64307556448219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.658994417457967,0.0,0.0,0.0,0.0,4.658994417457967,11.325086729566255,0.0,0.0,0.0,0.0,0.0,42.959999999999994,11.325086729566255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.317988834915933,16.47222222222222,-0.41666666666666696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,2,0,0,0,0,0,0,1,0,3,0,0,0,0,0,-1.3078,0.6865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,246.91800000000003,-4.035068971804257,9.324652777777779,-5.675347222222223,9.324652777777779,0.0,0.40002288523039065,246.91800000000003,242.88600000000002,246.88434482800002,68,0,3.0,-0.789599439952275,3.0,0.789599439952275,0.9090909090909091,1.0909090909090908,1.0909090909090908,,,,,,,,,-3.1999997430000204e-07,156.87959510731497,7.707106781186548,5.1301296972561845,8.09940705119475,3.7071067811865475,1.460593486680443,4.3817804600413295,0.9760768490926884,3.4181284958347025,0.2,1.8000000000000003,0.12247448713915894,1.1022703842524306,0.7394805194805194,27.435741083179973,17.727365186634383,5.396525527957578,18.059331382672653,72.49538113684142,39.164920700814186,0.0,0.0,0.0,0.0,17.068678152405656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.645394246264342,50.08305250290181,15.645394246264342,0.0,6.150546350318038,0.0,0.0,0.0,0.0,0.0,0.0,25.724192761327938,0.0,0.0,15.645394246264342,0.0,30.5094060918919,0.0,0.0,0.0,0.0,0.0,0.0,172.11,15.645394246264342,28.703742980872562,0.0,23.219224502723694,0.0,0.0,0.0,0.0,0.0,4.310631369623587,0.0,21.163194444444446,0.0,37.298611111111114,0.0,0.0,0.0,0.0,0.0,0.0,-11.350694444444446,0.0,11,4,8,0,0,0,0,0,0,7,1,11,2,0,0,0,0,-2.9659000000000004,22.282800000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
92,301.033,-5.213908995809792,9.324652777777779,-5.675347222222223,9.324652777777779,0.0,0.38381554419862646,301.033,301.033,299.7711206,74,2,2.0,-0.789599439952275,2.0,0.789599439952275,0.8181818181818182,1.0,1.0,,,,,,,,,-3.1999997430000204e-07,154.87959510731497,7.707106781186548,4.355187913402484,8.027345848279033,3.7071067811865475,1.460593486680443,4.3817804600413295,0.9760768490926884,3.4181284958347025,0.2,1.8000000000000003,0.12247448713915894,1.1022703842524306,1.2989610389610389,27.435741083179973,18.15835873664951,5.861602663772259,18.339406479021097,82.95525104511556,33.01437435049615,0.0,0.0,0.0,0.0,34.13735630481131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.645394246264342,67.15173065530746,15.645394246264342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5736464110099,0.0,0.0,15.645394246264342,0.0,47.57808424429756,0.0,0.0,0.0,0.0,0.0,0.0,135.61,15.645394246264342,28.703742980872562,0.0,34.13735630481131,0.0,0.0,0.0,0.0,0.0,4.310631369623587,0.0,21.163194444444446,0.0,37.298611111111114,0.0,0.0,0.0,0.0,0.0,0.0,-11.350694444444446,0.0,11,0,7,0,0,0,0,0,0,7,0,11,2,0,0,0,0,-3.3446000000000002,16.298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,183.318,-5.574602923053271,0.0,0.0,0.0,0.0,0.3281144189695895,183.318,183.318,183.84106386,16,0,2.0,-1.0,2.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,,,,,,,-0.0,2.7548875021634682,0.0,1.463035727205002,7.011203328307932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5020779220779221,0.0,24.472576341048732,9.71723131296236,3.5020779220779232,51.957215838564146,24.814066322359952,0.0,0.0,0.0,0.0,27.298785494994465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.11285181735442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.814066322359952,0.0,0.0,0.0,0.0,27.298785494994465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.11285181735442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,-5.9945,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,326.12800000000004,-3.5882062707626905,8.25,-1.75,8.25,0.0,0.4065920969177716,326.12800000000004,326.12800000000004,325.86889228,73,1,3.0,-0.3562938630350668,3.0,0.3562938630350668,0.5384615384615384,0.5384615384615384,0.5384615384615384,,,,,,,,,-4.4999999833333336e-08,112.40947885963234,10.732050807568879,5.515875400674642,8.655930345314902,5.196152422706632,1.6431676725154984,1.6431676725154984,0.6708203932499369,0.6708203932499369,0.0,0.0,0.0,0.0,-1.023376623376623,98.7067498701919,22.679514075539856,17.17108526052357,844.5469292335126,102.47247264137687,45.96471388062859,0.0,0.0,0.0,0.0,41.747291167473314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.259857128797627,57.00714829627094,0.0,0.0,0.0,0.0,0.0,0.0,45.96471388062859,0.0,0.0,0.0,0.0,0.0,0.0,15.259857128797627,0.0,87.7120050481019,0.0,0.0,0.0,0.0,0.0,198.6,15.259857128797627,0.0,0.0,41.747291167473314,0.0,0.0,0.0,0.0,0.0,0.0,45.96471388062859,0.0,0.0,24.75,44.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,12,0,0,0,0,0,0,9,0,13,0,0,0,0,0,-0.7173000000000003,31.084200000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,208.475,-5.447378876028185,8.520833333333334,-5.166666666666666,8.520833333333334,0.0,0.28031062788014344,208.475,208.475,209.85508798,32,0,2.0,-0.7587686166726576,2.0,0.7587686166726576,1.1666666666666667,1.1666666666666667,1.1666666666666667,,,,,,,,,0.0,90.7164928725825,4.5,2.7483482335058627,7.601154523499611,2.0,0.6666666666666669,2.0,0.40824829046386324,1.2247448713915892,0.0,0.0,0.0,0.0,0.7920779220779219,3.6096404744368114,9.922559431764936,2.8832136084956925,109.83545685730053,55.288734125289196,9.105499747380728,0.0,0.0,0.0,0.0,27.298785494994465,8.417796984328938,0.0,0.0,0.0,0.0,0.0,10.399000581649606,0.0,44.822082226704126,10.399000581649606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.523296731709664,37.69778607664407,0.0,0.0,0.0,0.0,0.0,0.0,80.26,10.399000581649606,0.0,0.0,27.298785494994465,0.0,0.0,0.0,0.0,0.0,0.0,17.523296731709664,34.083333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.166666666666666,0.0,6,0,4,0,0,0,0,0,0,4,0,6,0,0,0,0,0,-1.3404999999999996,10.4746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
